"question n","question","a","b","c","d","correct","explanationA","explanationB","explanationC","explanationD"
"36","A company utilizes an AI agent to help procurement specialists generate complex contract clauses. The agent achieves its goal by observing the specialist's input, interpreting the request, reasoning about the necessary legal requirements, and then generating the clause. What iterative process is the agent using to accomplish this task?","Fine-tuning process","Grounding loop","Reasoning loop","Prompt Chaining","C","A is incorrect because fine-tuning is an external process of adapting the model through additional training.","B is incorrect because grounding connects output to verifiable sources, it is not the core decision-making cycle. [27]","C is correct because the agent uses a reasoning loop, which is an iterative process where the agent observes, interprets, reasons, and acts, often using prompt engineering, to achieve a goal. [14]","D is incorrect because Prompt Chaining refers to continuing a conversation within the same chatbot to maintain context. [53]"
"37","A development team is tasked with building a complex generative AI solution that requires extensive customization, proprietary datasets, and full control over the training environment. They need to create and train models at scale using an ML framework. Which option within Vertex AI should they prioritize?","Vertex AI AutoML","Model Garden","Model Builder (Fully Custom)","Vertex AI Search","C","A is incorrect because AutoML is designed for minimal technical knowledge, which contradicts the need for extensive customization and use of an ML framework. [34]","B is incorrect because Model Garden provides existing models; the team needs to train their own. [3]","C is correct because Model Builder allows the team to train and use their own models, including the option to go fully custom and create and train models at scale using an ML framework. [34]","D is incorrect because Vertex AI Search is a solution for search applications, not the core platform for custom model training. [23]"
"38","A financial services firm wants to improve its internal documentation access. Their documents are highly structured, stored in relational databases, and categorized neatly. When selecting a method to feed this data to an internal search tool, how is this type of data primarily classified?","Unlabeled data","Unstructured data","Structured data","Raw data","C","A is incorrect because unlabeled data lacks tags; this data is categorized and organized. [37]","B is incorrect because unstructured data lacks a predefined structure; this data is organized and easy to search. [40]","C is correct because Structured data is data that is organized and easy to search, often stored in relational databases. [40]","D is incorrect because raw data is unprocessed, and this data has been organized and stored in specific formats. [41]"
"39","A software firm uses a generative AI agent to automate the creation of configuration files. When the agent receives a prompt, it must first execute a tool to retrieve the necessary system parameters from an external database before generating the configuration. Which technique allows the LLM within the agent to reason and take action on a user query using these tools?","Metaprompting","Zero-shot prompting","ReAct (Reason and act)","Few-shot prompting","C","A is incorrect because Metaprompting uses prompting to generate, modify, or interpret other prompts. [58]","B is incorrect because zero-shot prompting involves asking the model to complete a task with no prior examples. [53]","C is correct because ReAct (Reason and act) allows the LLM to reason and take action on a user query, which typically involves leveraging tools or functions to interact with the environment. [14, 56]","D is incorrect because few-shot prompting involves giving the model multiple examples to learn from. [27]"
"40","A company wants to use a foundational model that is multimodal, meaning it can process and generate different types of data like text, images, and code simultaneously for various applications. Which Google gen AI model fits this description?","Imagen","Veo","Gemma","Gemini","D","A is incorrect because Imagen is specialized for text-to-image generation. [16]","B is incorrect because Veo is specialized for video generation. [16]","C is incorrect because Gemma is focused on text and code solutions.","D is correct because Gen AI applications can be multimodal, enabling them to process and generate different types of data like text, images, and code simultaneously, and Gemini is a Google gen AI model that powers many different solutions. [1, 8]"
"41","A data preparation team is undertaking the first step of the ML lifecycle for a predictive model. They are collecting raw data, cleaning it to remove errors, and transforming it into a format that is usable for training. What is this process called?","Model Deployment","Model Management","Model Training","Data ingestion and preparation","D","A is incorrect because model deployment is making a trained model available for use. [57]","B is incorrect because model management is maintaining models over time. [37]","C is incorrect because model training is the process of creating the ML model using data. [57]","D is correct because the data ingestion and preparation process involves collecting, cleaning, and transforming raw data into a usable format for analysis or model training. [57]"
"42","A product team wants to integrate generative AI features directly into their proprietary software application, such as adding a summarization feature. They need to access the Gemini model's capabilities programmatically. Which tool is suitable for allowing developers to experiment with and access the Gemini model via code?","Vertex AI Search","The Gemini app","Gemini API (via Google AI Studio or Vertex AI Studio)","Google Agentspace","C","A is incorrect because Vertex AI Search is for building search and recommendation solutions. [23]","B is incorrect because the Gemini app is a user-facing chatbot, not a programmatic access method. [2]","C is correct because developers can experiment with the Gemini API through Google AI Studio and Vertex AI Studio, allowing programmatic access to the model. [56]","D is incorrect because Agentspace is designed for creating internal, goal-driven agents that access internal data. [22]"
"43","A large consulting firm needs to set ethical guidelines and ensure the secure and responsible development of AI across its organization, aligning with global standards. What strategic pillar of gen AI implementation must the firm establish?","Exploration","Resourcing","Responsible AI","Continuous improvement","C","A is incorrect because exploration involves encouraging experimentation to discover applications. [18]","B is incorrect because resourcing involves investing in talent and data strategy. [55]","C is correct because Responsible AI requires establishing ethical guidelines and ensuring secure and responsible AI development. [18]","D is incorrect because continuous improvement focuses on refining solutions based on feedback. [55]"
"44","A telecommunications company needs to monitor its large network of remote servers and devices using generative AI. Due to the high latency and massive data volume generated by these locations, the AI processing needs to be performed locally on the server hardware rather than being sent back to the central cloud. This is known as running AI solutions on infrastructure closer to where the action is happening. What is this concept called?","Model Management","AI on the edge","Prompt Chaining","Centralized Infrastructure","B","A is incorrect because Model Management is maintaining models over time. [37]","B is correct because AI on the edge means running AI solutions on infrastructure (devices or servers) closer to where the action is happening. [34]","C is incorrect because Prompt Chaining is a technique for continuing conversations with an AI model. [53]","D is incorrect because this scenario requires decentralized processing, not centralized infrastructure. [34]"
"45","An ML team wants to create a customized prediction model but lacks deep ML expertise to build a custom model from scratch. They need a Vertex AI tool that allows them to create and train models efficiently with minimal technical knowledge and effort. Which tool should they use?","Model Garden","Model Builder (AutoML)","Lite Runtime (LiteRT)","Gemini for Google Cloud","B","A is incorrect because Model Garden is for picking existing models, not for training a new one. [3]","B is correct because AutoML is a function within Model Builder that allows users to create and train models with minimal technical knowledge and effort. [34, 50]","C is incorrect because Lite Runtime (LiteRT) is a tool for deploying models on edge devices, not for model training. [54]","D is incorrect because Gemini for Google Cloud is an AI assistant for managing cloud resources, code, and security. [2]"
"46","A customer support center wants to analyze thousands of transcripts from past customer communications (phone calls, emails, chats) to understand key trends, identify recurring pain points, and measure campaign effectiveness. They need a tool to gain insights from all these communications. Which Google Cloud Customer Engagement tool is designed for this?","Conversational Agents","Agent Assist","Conversational Insights","Gemini app","C","A is incorrect because Conversational Agents act as effective chatbots for customer interaction. [23]","B is incorrect because Agent Assist supports live human contact center agents. [23]","C is correct because Conversational Insights is the tool designed to gain insights into all communications with customers. [23]","D is incorrect because the Gemini app is a general-purpose chatbot, not a specialized contact center analysis tool. [2]"
"47","A product manager uses an AI chatbot to generate various ideas for a new product feature. The manager starts the conversation, explores one idea, and then continues to explore follow-up variations of that idea within the same chat window, building upon the previous context. Which prompting technique is the manager using?","Zero-shot prompting","Prompt Chaining","Role prompting","Few-shot prompting","B","A is incorrect because zero-shot prompting involves asking the task with no examples. [53]","B is correct because Prompt Chaining involves continuing conversations within the same chatbot to maintain context. [27, 53]","C is incorrect because role prompting involves assigning a persona to the model. [27]","D is incorrect because few-shot prompting involves giving the model multiple examples to learn from. [27]"
"48","An internal IT support team is looking to simplify complex system diagnostics. They plan to create a personalized AI assistant within a Google gen AI environment that is pre-loaded with specific IT troubleshooting protocols and is tailored to provide responses only based on these internal procedures. What personalized tool should they create?","A custom LLM via Vertex AI","A custom Gem in Gemini","A NotebookLM project","A Veo model","B","A is incorrect because creating a custom LLM is resource-intensive and unnecessary for a personalized assistant that leverages an existing model. [34]","B is correct because Gems are personalized AI assistants within Gemini. They provide personalized responses tailored to specific instructions and streamline workflows. [53]","C is incorrect because NotebookLM is for analyzing uploaded documents for research and insights. [20]","D is incorrect because Veo generates video content. [16]"
"49","A consulting team needs to identify the fundamental learning approach used when an ML model is trained exclusively on unstructured data to find natural groupings of documents, such as identifying clusters of customer feedback topics without being told beforehand what those topics are.","Supervised learning","Reinforcement learning","Deep learning","Unsupervised learning","D","A is incorrect because supervised learning requires labeled data with correct output pairs. [37]","B is incorrect because reinforcement learning learns through interaction and feedback. [11]","C is incorrect because deep learning is a subset of ML using neural networks, not a specific learning paradigm defined by unlabeled data clustering. [10]","D is correct because Unsupervised learning uses unlabeled data to find natural groupings and patterns. [37]"
"50","A software company has built a highly customized, proprietary AI model. Now they need to make this trained model available for use by their production application through an API endpoint. Which stage of the ML lifecycle are they currently focused on?","Data ingestion and preparation","Model training","Model deployment","Model management","C","A is incorrect because data ingestion and preparation occurs before training. [57]","B is incorrect because model training is the process of creating the model using data. [57]","C is correct because Model deployment is the process of making a trained model available for use. [57]","D is incorrect because model management involves maintaining models over time, which happens after deployment. [37]"
"51","A security operations center wants to use a generative AI assistant that can help them write and debug security rules, manage and optimize their cloud applications, and analyze security data efficiently within the Google Cloud ecosystem. Which specific tool offers this integrated assistance?","Gemini app","Vertex AI","Gemini for Google Cloud","Gemini for Google Workspace","C","A is incorrect because the Gemini app is a general chatbot, not specialized for cloud security tasks. [2]","B is incorrect because Vertex AI is the unified platform for building ML models, not the AI assistant for cloud operations. [3]","C is correct because Gemini for Google Cloud is the AI assistant for Google Cloud that can help users write and debug code, manage and optimize cloud applications, analyze data in BigQuery, and strengthen their security posture. [2]","D is incorrect because Gemini for Google Workspace is integrated into productivity tools like Gmail and Docs. [2]"
"52","A researcher is using a foundation model to summarize a document. The researcher wants the model to adopt a more formal, academic style for the summary output. Which prompting technique should the researcher use to influence the model's output tone and focus?","Few-shot prompting","Prompt Chaining","Zero-shot prompting","Role prompting","D","A is incorrect because few-shot prompting provides multiple examples for the task itself. [27]","B is incorrect because prompt chaining maintains context across multiple turns. [53]","C is incorrect because zero-shot prompting asks for the task without examples. [53]","D is correct because Role prompting involves assigning a persona to the model to influence its style, tone, and focus. [27]"
"53","A technology company needs to manage and maintain its portfolio of generative AI models, which are used across dozens of different applications. This includes tracking performance, updating dependencies, and handling version control over the models' lifespan. Which stage of the ML lifecycle is this activity primarily associated with?","Data ingestion and preparation","Model training","Model deployment","Model management","D","A is incorrect because data preparation happens before training. [57]","B is incorrect because model training creates the model. [57]","C is incorrect because model deployment is making the model available for use. [57]","D is correct because Model management is the process of managing and maintaining your models over time. [37]"
"54","A product team wants to integrate advanced search and recommendation capabilities powered by AI into their e-commerce platform to help users find relevant products quickly. Which Google Cloud offering is specifically designed for search and recommendation solutions for businesses?","Google Cloud Contact Center as a Service (CCaaS)","NotebookLM","Vertex AI Search","Agentspace","C","A is incorrect because CCaaS is an enterprise-grade contact center solution. [23]","B is incorrect because NotebookLM is an AI-first research assistant for analyzing documents. [20]","C is correct because Vertex AI Search provides search and recommendation solutions for businesses. [23]","D is incorrect because Agentspace is for creating custom internal search and conversation agents over internal data. [22]"
"55","A customer service department uses a generative AI assistant that works alongside human agents, providing real-time suggestions, information retrieval, and next-best actions during live customer interactions. Which Google Cloud Customer Engagement tool serves this function?","Conversational Agents","Agent Assist","Conversational Insights","Gemini for Google Workspace","B","A is incorrect because Conversational Agents act as chatbots directly with customers. [23]","B is correct because Agent Assist is designed to support live human contact center agents. [23]","C is incorrect because Conversational Insights gains insights from communications. [23]","D is incorrect because Gemini for Google Workspace is for general productivity applications like Gmail. [2]"
"56","A machine learning team needs to adapt a large foundation model, which was originally trained on massive, diverse datasets, to a highly specialized domain task within their company. They plan to use additional, targeted training to achieve this adaptation. What key feature of foundation models allows for this process?","Data Dependency","Multimodal capacity","Adaptability","Hallucination resistance","C","A is incorrect because data dependency describes the reliance on data quality. [40]","B is incorrect because multimodal capacity is the ability to process different data types simultaneously. [1]","C is correct because foundation models are trained on diverse data and are adaptable to specialized domains through additional, targeted training. [8]","D is incorrect because hallucination resistance is a desired outcome, not a key feature of the model architecture. [28]"
"57","A consulting firm needs to utilize prompting to guide a generative AI model through a complex data analysis task. To ensure the model generates accurate steps, they decide to define the process that the AI model should follow, making the model generate, modify, or interpret the initial instructions based on its internal knowledge. Which advanced prompting technique are they using?","Prompt Chaining","Metaprompting","Few-shot prompting","Retrieval-Augmented Generation (RAG)","B","A is incorrect because Prompt Chaining involves continuing a conversation to maintain context. [53]","B is correct because Metaprompting uses prompting to guide the AI model to generate, modify, or interpret other prompts. [58]","C is incorrect because few-shot prompting provides examples of the input-output task. [27]","D is incorrect because RAG is a grounding technique that retrieves external information. [22, 27]"
"58","A retail company wants to use a foundational model to perform various tasks like summarizing customer feedback, generating promotional text, and discovering key information from internal reports. They are looking for a model that can support a wide range of use cases due to its training on massive datasets. What are such large AI models trained on massive datasets and adaptable to many tasks called?","Structured Models","Agent Models","Foundation Models","Conversational Models","C","A is incorrect because structured models refer to models that rely on structured data. [40]","B is incorrect because agents are applications that use models to achieve goals. [14]","C is correct because Foundation models are large AI models trained on massive datasets, allowing them to be adapted to many tasks and supporting a wide range of use cases. [8, 10]","D is incorrect because conversational models are specialized for dialogue interaction. [23]"
"59","A company that handles sensitive personal data decides to run its generative AI models on devices close to the data source rather than sending the raw data to a centralized cloud location. They choose to use Lite Runtime (LiteRT) to assist their developers with this deployment process. What type of AI deployment are they focusing on?","Cloud Functions deployment","Model Management","AI on the edge","Model Garden deployment","C","A is incorrect because Cloud Functions is a serverless execution environment, not the edge deployment paradigm. [24]","B is incorrect because Model Management is maintaining models over time. [37]","C is correct because AI on the edge means running AI solutions on infrastructure (devices or servers) closer to where the action is happening, and Lite Runtime (LiteRT) is a tool Google provides to help developers deploy AI models on edge devices. [34, 54]","D is incorrect because Model Garden is a repository of pre-trained models, not a deployment technique. [3]"
"60","A large language model (LLM) is used by a news organization to automatically generate articles based on breaking news data. The output is consistently failing to cover recent events that occurred after the model's final training date. This failure to access the latest real-world information is known as what limitation?","Hallucination","Bias","Knowledge cutoff","Data dependency","C","A is incorrect because hallucination involves generating factually incorrect, fabricated information. [28]","B is incorrect because bias involves outputs reflecting prejudices in training data. [28]","C is correct because Knowledge cutoff refers to the point in time after which the model has not been trained on new information, resulting in the inability to answer questions about recent events. [28]","D is incorrect because data dependency relates to the quality and completeness of the training data. [40]"
"61","A global logistics company needs a system to automate complex routing and inventory tasks that currently involve many manual steps across different internal software systems. They are looking for a solution that can analyze the context, use various software functions (tools), and execute decisions autonomously to meet workflow goals. Which Gen AI component best fits this requirement?","Foundation Model","Infrastructure","Platform","Agent","D","A is incorrect because the model is the ""brains,"" but it needs to be packaged into an application to observe, act, and use tools. [14]","B is incorrect because infrastructure is the hardware foundation. [34]","C is incorrect because the platform is where the model is built and managed (Vertex AI). [3]","D is correct because a gen AI Agent is an application that tries to achieve a goal by observing the world and acting upon it using the tools it has at its disposal, utilizing a reasoning loop to analyze and decide. [14]"
"62","A development team wants to create a simple image classification application using generative AI. They choose to build and train their model using only one example image paired with its correct label to teach the model the task. Which prompting technique are they applying?","Zero-shot prompting","One-shot prompting","Few-shot prompting","Prompt Chaining","B","A is incorrect because zero-shot prompting uses no prior examples. [53]","B is correct because One-shot prompting involves providing the model with one example to learn from. [53]","C is incorrect because few-shot prompting involves giving the model multiple examples. [27]","D is incorrect because Prompt Chaining continues a conversation to maintain context. [53]"
"63","A business wants to leverage generative AI models but is concerned about vendor lock-in and wants maximum flexibility to incorporate tools from different technology providers. Which characteristic of Google's AI ecosystem best addresses this concern?","Commitment to fully managed services","Enterprise-grade foundation","Open approach","Security and ethics focus","C","A is incorrect because fully managed services can potentially limit user control and choice. [17]","B is incorrect because enterprise-grade foundation relates to reliability and security, not flexibility of choice. [18]","C is correct because Google's open approach gives flexibility and choice in AI solutions, which mitigates concerns about vendor lock-in. [18]","D is incorrect because security and ethics are crucial but do not address the issue of technological dependence. [18]"
"64","A consulting firm needs to summarize extensive legal documents. The firm wants to ensure that the AI-generated summaries are accurate and directly traceable back to the specific clauses in the original documents. They achieve this by having the AI retrieve relevant information from the knowledge base before generating the summary. What is the process that connects the AI's output to verifiable sources of information?","Prompt engineering","Fine-tuning","Grounding","Model training","C","A is incorrect because prompt engineering is the method of guiding the model with instructions. [8]","B is incorrect because fine-tuning is targeted training, not source verification. [4]","C is correct because Grounding is the technique that connects the AI's output to verifiable sources of information, enhancing accuracy and reliability (often implemented via RAG). [27]","D is incorrect because model training is the process of creating the model. [57]"
"65","A product development team needs to quickly explore 10 different stylistic variations of a single prompt for image generation, without writing the full detailed prompt instructions 10 times. They want to store the foundational prompt structure to save time. What prompt workflow streamlining technique should they use?","Prompt Chaining","Using Saved Info in Gemini","Reusing Prompts","Metaprompting","C","A is incorrect because Prompt Chaining continues a conversation. [53]","B is incorrect because Saved Info stores specific factual information for the model to use consistently. [53]","C is correct because Reusing Prompts involves saving prompts as templates for repeated use, which streamlines workflows. [20]","D is incorrect because Metaprompting is for generating, modifying, or interpreting other prompts. [58]"
"66","A startup has limited time and budget but wants to demonstrate a tangible benefit from their gen AI implementation within the next quarter. Which strategic focus should they prioritize to maximize their chances of success?","Encourage broad, unrestricted exploration across all departments.","Prioritize focused gen AI implementations with clear business value.","Invest heavily in developing a new foundation model from scratch.","Focus on maximizing the scale of the implementation across all users immediately.","B","A is incorrect because broad exploration is encouraged, but the strategic focus should be prioritized for clear value. [18]","B is correct because the Strategic focus is to prioritize focused gen AI implementations with clear business value. [18]","C is incorrect because resourcing should leverage existing resources (like foundation models) rather than investing in building a new one from scratch. [8, 55]","D is incorrect because while scale should be considered in planning, the priority is value over immediate maximization of scale. [59]"
"67","A developer is testing a large language model and provides it with five examples of the desired input/output format before asking it to complete the final task. This is done to ensure the model understands the desired structure and style of the output. Which prompting technique is the developer using?","Zero-shot prompting","One-shot prompting","Few-shot prompting","Role prompting","C","A is incorrect because zero-shot prompting uses no prior examples. [53]","B is incorrect because one-shot prompting uses only one example. [53]","C is correct because Few-shot prompting involves giving the model multiple examples to learn from. [27]","D is incorrect because role prompting influences the style and tone, but does not provide examples of the task structure itself. [27]"
"68","A company is trying to manage the risk associated with AI applications, specifically by protecting their AI/ML models from external threats, unauthorized access, and data breaches. Which pillar of Responsible AI is this activity primarily concerned with?","Ethical AI","Data Quality","Secure AI","Explainable AI","C","A is incorrect because Ethical AI focuses on ensuring the AI doesn't cause harm to users. [37]","B is incorrect because Data Quality ensures accuracy and completeness of the training data. [40]","C is correct because Secure AI focuses on protecting your AI applications from harm (like external threats or misuse). The Secure AI Framework (SAIF) helps manage these risks. [37]","D is incorrect because Explainable AI addresses transparency in decision-making. [4, 5]"
"69","A machine learning team needs a way to connect their foundational LLM to external services, such as a weather API, allowing the LLM to pull real-time data before generating a response to a user query about predicted rainfall. Which agent tooling component enables this connection to external services?","Functions","Data stores","Plugins","Extensions","D","A is incorrect because Functions define specific actions or tasks. [58]","B is incorrect because Data stores provide access to information. [58]","C is incorrect because Plugins add new skills and integrations, which is a related concept but Extensions are specified for connecting to external services. [58]","D is correct because Extensions are a type of tooling that connects to external services (via APIs). [58]"
"70","A company wants to use a Generative AI model to summarize its quarterly financial reports, which are stored as long, continuous blocks of text. The model must learn the patterns and relationships within this type of continuous data to produce novel summaries. How is this type of data, which lacks a predefined structure, generally classified?","Structured data","Raw data","Unlabeled data","Unstructured data","D","A is incorrect because structured data is organized and easy to search, often in tables. [40]","B is incorrect because raw data is unprocessed, and while the text may be raw, the primary classification based on format is unstructured. [41]","C is incorrect because unlabeled data lacks tags, but the core issue here is the format's lack of organization. [37]","D is correct because Unstructured data is data that lacks a predefined structure and requires sophisticated analysis techniques, such as continuous blocks of text. [40]"
